2.426666667,72.7693
2.432000000,72.8424
2.437333333,72.8734
2.442666667,73.0138
2.448000000,73.1615
2.453333333,73.0943
2.458666667,72.974
2.464000000,72.8909
2.469333333,73.1515
2.474666667,73.4786
2.480000000,73.8732
2.485333333,73.9129
2.490666667,73.9135
2.496000000,74.0864
2.501333333,73.7937
2.506666667,73.8635
2.512000000,73.898
2.517333333,73.7549
2.522666667,74.0345
2.528000000,74.098
2.533333333,74.0068
2.538666667,73.9656
2.544000000,73.6442
2.549333333,73.2226
2.554666667,73.398
2.560000000,73.3545
2.565333333,73.5112
2.570666667,74.0108
2.576000000,73.7343
2.581333333,73.6858
2.586666667,73.1589
2.592000000,72.8873
2.597333333,73.2149
2.602666667,73.1273
2.608000000,73.7181
2.613333333,73.9823
2.618666667,73.9882
2.624000000,74.1901
2.629333333,73.669
2.634666667,73.3532
2.640000000,73.448
2.645333333,73.1229
2.650666667,73.7023
2.656000000,73.7117
2.661333333,73.5894
2.666666667,73.8526
2.672000000,73.3253
2.677333333,73.5627
2.682666667,73.3337
2.688000000,73.0789
2.693333333,73.4786
2.698666667,73.5838
2.704000000,73.8426
2.709333333,74.1602
2.714666667,73.955
2.720000000,73.7206
2.725333333,73.8894
2.730666667,73.5483
2.736000000,73.8965
2.741333333,74.1431
2.746666667,74.1459
2.752000000,74.9714
2.757333333,74.729
2.762666667,74.8496
2.768000000,75.1178
2.773333333,73.7876
2.778666667,74.3639
2.784000000,74.5627
2.789333333,74.8231
2.794666667,75.8431
2.800000000,75.7774
2.805333333,75.6205
2.810666667,75.6818
2.816000000,74.9495
2.821333333,74.735
2.826666667,75.3151
2.832000000,75.0112
2.837333333,75.276
2.842666667,75.2909
2.848000000,75.1181
2.853333333,75.2082
2.858666667,76.1765
2.864000000,76.9394
2.869333333,76.054
2.874666667,75.6016
2.880000000,75.4228
2.885333333,75.2483
2.890666667,75.1969
2.896000000,75.0288
2.901333333,74.6864
2.906666667,74.2932
2.912000000,74.4784
2.917333333,74.3668
2.922666667,74.8498
2.928000000,75.0495
2.933333333,75.3604
2.938666667,75.1803
2.944000000,75.267
2.949333333,74.7584
2.954666667,74.844
2.960000000,75.1898
2.965333333,75.1862
2.970666667,76.2181
2.976000000,76.0336
2.981333333,75.9515
2.986666667,75.4149
2.992000000,74.6336
2.997333333,74.3786
3.002666667,74.6332
3.008000000,74.9523
3.013333333,75.3461
3.018666667,75.7725
3.024000000,75.3638
3.029333333,75.2678
3.034666667,75.0093
3.040000000,74.6008
3.045333333,74.9834
3.050666667,74.9603
3.056000000,74.9876
3.061333333,74.9135
3.066666667,74.6479
3.072000000,74.6395
3.077333333,74.3832
3.082666667,73.8611
3.088000000,74.2734
3.093333333,73.8603
3.098666667,74.5328
3.104000000,74.6665
3.109333333,74.219
3.114666667,74.098
3.120000000,73.8123
3.125333333,73.3808
