time,frequency,confidence
2.450,404.829,0.641591
2.460,402.763,0.816014
2.470,397.660,0.819442
2.480,394.485,0.853954
2.490,388.678,0.826499
2.500,382.446,0.841863
2.510,379.574,0.900225
2.520,378.605,0.762177
2.530,375.707,0.664157
2.540,375.998,0.604622
2.550,375.209,0.571895
2.560,375.773,0.645476
2.570,377.768,0.783440
2.580,379.980,0.878885
2.590,385.828,0.809775
2.600,389.788,0.838478
2.610,391.155,0.768616
2.620,393.858,0.572625
2.630,405.349,0.381592
2.640,410.531,0.604469
2.650,409.776,0.571799
2.660,403.531,0.465387
2.670,399.712,0.664524
2.680,398.269,0.723930
2.690,390.566,0.603873
2.700,385.155,0.705340
2.710,384.992,0.821528
2.720,385.008,0.857954
2.730,385.247,0.835972
2.740,385.155,0.817259
2.750,381.979,0.883058
2.760,380.528,0.933459
2.770,379.042,0.909656
2.780,376.964,0.927317
2.790,378.049,0.878046
2.800,380.206,0.790860
2.810,388.266,0.593556
2.820,395.416,0.791917
2.830,397.481,0.821377
2.840,400.632,0.741312
2.850,400.028,0.548951
2.860,393.194,0.541550
2.870,394.148,0.611715
2.880,392.908,0.686242
2.890,390.103,0.648757
2.900,388.621,0.701293
2.910,387.895,0.638932
2.920,385.605,0.720787
2.930,385.132,0.812203
2.940,382.647,0.799214
2.950,381.996,0.695195
2.960,383.325,0.653713
2.970,382.660,0.622015
2.980,383.440,0.781303
2.990,383.828,0.827109
3.000,385.795,0.811126
3.010,389.346,0.806515
3.020,390.312,0.688588
3.030,389.898,0.509145
3.040,384.454,0.406837
3.050,410.844,0.441901
3.060,410.747,0.532844
3.070,407.129,0.559227
3.080,398.819,0.549452
3.090,391.972,0.686841
3.100,387.659,0.764269
3.110,385.320,0.746790
3.120,386.702,0.683916
3.130,384.354,0.528484
3.140,374.992,0.292729
3.150,374.587,0.243447
3.160,376.514,0.205329
3.170,377.000,0.280096
3.180,375.666,0.331576
3.190,378.171,0.522824
3.200,389.895,0.517474
3.210,392.228,0.765645
3.220,393.763,0.804282
3.230,393.841,0.803606
3.240,394.217,0.718560
3.250,396.004,0.694756
3.260,397.934,0.713362
3.270,398.614,0.704553
3.280,394.841,0.731853
3.290,391.343,0.810724
3.300,387.549,0.784444
3.310,386.071,0.839450
3.320,385.509,0.817170
3.330,384.599,0.650450
3.340,381.985,0.501406
3.350,378.764,0.465072
3.360,379.616,0.473977
3.370,382.426,0.678961
3.380,384.146,0.666208
3.390,385.097,0.407546
3.400,392.507,0.491936
3.410,390.780,0.545037
3.420,388.478,0.751687
3.430,388.790,0.839761
3.440,388.761,0.821776
3.450,392.531,0.687242
3.460,395.050,0.657994
3.470,397.298,0.659784
3.480,394.696,0.752872
3.490,392.052,0.789638
3.500,392.287,0.740701
3.510,392.503,0.585764
3.520,383.961,0.538710
3.530,380.841,0.551423
3.540,378.933,0.724790
3.550,377.081,0.640223
3.560,378.309,0.731187
3.570,378.405,0.707084
3.580,379.879,0.683470
3.590,379.395,0.784011
3.600,376.935,0.698410
3.610,381.341,0.560413
3.620,378.156,0.587967
3.630,381.336,0.479501
3.640,383.783,0.699317
3.650,385.211,0.654634
3.660,387.488,0.691075
3.670,348.441,0.551067
3.680,302.253,0.418203
3.690,271.828,0.629263
3.700,240.857,0.564276
3.710,206.403,0.441226
3.720,188.026,0.561409
3.730,186.845,0.411062
3.740,186.682,0.323416
3.750,186.439,0.714364
3.760,187.483,0.462361
3.770,188.121,0.613762
3.780,187.073,0.668449
3.790,186.936,0.600120
3.800,186.639,0.655118
3.810,187.398,0.629217
3.820,187.309,0.505116
3.830,185.614,0.480381
3.840,186.109,0.624921
3.850,186.423,0.647997
3.860,187.839,0.650440
3.870,188.714,0.519638
3.880,187.922,0.612619
3.890,186.974,0.576981
3.900,186.232,0.537838
3.910,184.723,0.600110
3.920,186.424,0.593625
3.930,186.250,0.671256
3.940,186.872,0.574654
3.950,187.089,0.782038
3.960,186.726,0.721067
3.970,187.176,0.746960
3.980,187.472,0.817580
3.990,188.373,0.788667
4.000,188.189,0.777994
4.010,188.549,0.654205
4.020,188.371,0.701480
4.030,207.193,0.426791
4.040,238.049,0.554383
4.050,262.711,0.218212
4.060,294.098,0.290794
4.070,322.896,0.327188
4.080,330.522,0.506974
4.090,328.136,0.514127
4.100,328.281,0.670250
4.110,327.509,0.596955
4.120,330.751,0.198606
4.130,370.377,0.198447
4.140,412.703,0.059433
4.150,453.730,0.165594
4.160,503.882,0.629011
4.170,502.879,0.769207
4.180,501.862,0.783231
4.190,503.025,0.807511
4.200,504.383,0.755078
4.210,504.648,0.798845
4.220,502.476,0.657497
4.230,502.976,0.310054
4.240,502.586,0.313926
4.250,503.683,0.451287
4.260,454.947,0.232082
4.270,414.430,0.207706
4.280,364.206,0.100861
4.290,335.098,0.313940
4.300,330.001,0.547598
4.310,328.567,0.486678
4.320,317.677,0.169521
4.330,302.245,0.456115
4.340,313.383,0.555100
4.350,315.034,0.797564
4.360,315.889,0.903081
4.370,315.722,0.916646
4.380,315.351,0.905777
4.390,314.795,0.889052
4.400,316.387,0.851917
4.410,318.658,0.750321
4.420,325.437,0.395057
4.430,343.967,0.585801
4.440,405.511,0.866190
4.450,421.890,0.905529
4.460,421.309,0.886513
4.470,419.925,0.846456
4.480,418.501,0.886196
4.490,418.316,0.916106
4.500,418.510,0.904193
4.510,418.821,0.870102
4.520,418.548,0.876406
4.530,419.133,0.835911
4.540,418.824,0.861795
4.550,419.248,0.814089
4.560,417.585,0.832611
4.570,416.878,0.867748
4.580,416.979,0.910262
4.590,417.077,0.911542
4.600,416.500,0.919624
4.610,416.476,0.905052
4.620,416.805,0.866396
4.630,418.076,0.859971
4.640,419.815,0.844121
4.650,420.366,0.884308
4.660,420.466,0.904392
4.670,420.626,0.892584
4.680,420.760,0.865070
4.690,420.649,0.850581
4.700,420.631,0.823291
4.710,420.298,0.791166
4.720,419.742,0.782645
4.730,420.155,0.788733
4.740,421.001,0.801420
4.750,421.822,0.820720
4.760,421.263,0.776965
4.770,421.985,0.639580
4.780,421.352,0.673028
4.790,420.964,0.753266
4.800,420.302,0.767967
4.810,420.113,0.783678
4.820,419.129,0.750346
4.830,418.400,0.719948
4.840,418.102,0.698039
4.850,417.728,0.590305
4.860,417.856,0.634002
4.870,417.965,0.811249
4.880,418.785,0.761170
4.890,419.107,0.808731
4.900,419.487,0.763535
4.910,419.440,0.755920
4.920,419.508,0.753673
4.930,419.570,0.787698
4.940,419.199,0.855032
4.950,418.879,0.875996
4.960,418.436,0.903014
4.970,418.278,0.883670
4.980,418.007,0.869403
4.990,418.211,0.794468
5.000,418.281,0.735845
5.010,418.892,0.615862
5.020,378.860,0.604550
5.030,336.100,0.592928
5.040,305.761,0.545803
5.050,269.168,0.679146
5.060,230.979,0.706787
5.070,209.454,0.739061
5.080,209.258,0.691613
5.090,209.086,0.619792
5.100,208.810,0.778318
5.110,209.144,0.809996
5.120,208.002,0.677168
5.130,207.686,0.499218
5.140,207.279,0.487474
5.150,207.055,0.492918
5.160,206.744,0.491870
5.170,207.189,0.637841
5.180,206.997,0.627407
5.190,206.930,0.754068
5.200,206.934,0.761058
5.210,206.953,0.660301
5.220,206.865,0.565448
5.230,206.685,0.681204
5.240,206.891,0.644163
5.250,207.051,0.674565
5.260,207.020,0.768054
5.270,207.258,0.679762
5.280,207.612,0.731355
5.290,207.285,0.791920
5.300,207.090,0.856610
5.310,207.038,0.832910
5.320,207.096,0.796300
5.330,206.961,0.806636
5.340,207.189,0.676986
5.350,207.263,0.725114
5.360,207.292,0.760840
5.370,207.354,0.822468
5.380,207.241,0.769328
5.390,207.008,0.679837
5.400,206.801,0.663295
5.410,206.717,0.713992
5.420,206.198,0.792490
5.430,206.264,0.862229
5.440,206.916,0.819823
5.450,207.514,0.845778
5.460,208.111,0.857263
5.470,207.804,0.846273
5.480,208.043,0.796519
5.490,208.446,0.696163
5.500,208.250,0.625564
5.510,207.639,0.583738
5.520,207.538,0.764277
5.530,207.731,0.832320
5.540,207.628,0.824362
5.550,206.801,0.757084
5.560,206.798,0.646325
5.570,207.056,0.655553
5.580,207.506,0.690102
5.590,207.215,0.638284
5.600,207.259,0.525735
5.610,207.428,0.488514
5.620,207.419,0.677876
5.630,206.994,0.775705
5.640,206.714,0.815564
5.650,206.825,0.813193
5.660,206.605,0.765049
5.670,207.259,0.734658
5.680,206.714,0.719604
5.690,206.603,0.588559
5.700,206.041,0.548523
5.710,206.324,0.672733
5.720,206.231,0.671085
5.730,206.117,0.696523
5.740,206.538,0.524359
5.750,207.224,0.666359
5.760,207.844,0.665397
5.770,208.233,0.671481
5.780,207.476,0.476221
5.790,207.396,0.377422
5.800,207.445,0.430076
5.810,184.869,0.370904
5.820,184.473,0.415424
5.830,184.010,0.297535
5.840,207.422,0.333826
5.850,207.572,0.476718
5.860,207.611,0.594618
5.870,207.139,0.503352
5.880,206.798,0.576617
5.890,207.177,0.612742
5.900,207.629,0.717442
5.910,207.403,0.400931
5.920,206.600,0.353602
5.930,207.150,0.465253
5.940,206.917,0.415568
5.950,207.142,0.570094
5.960,207.024,0.593833
5.970,206.724,0.471082
5.980,207.417,0.709180
5.990,207.356,0.685711
6.000,206.607,0.555909
6.010,186.651,0.329408
6.020,188.815,0.375663
6.030,188.764,0.418203
6.040,208.053,0.495613
6.050,185.963,0.442157
6.060,184.544,0.359938
6.070,184.940,0.270076
6.080,185.403,0.351001
6.090,186.029,0.457700
6.100,186.272,0.406852
6.110,186.213,0.321584
6.120,208.445,0.271489
6.130,208.527,0.271942
6.140,208.363,0.403351
6.150,207.805,0.292073
6.160,187.024,0.359646
6.170,188.473,0.316189
6.180,187.012,0.331737
6.190,208.098,0.388418
6.200,208.226,0.320441
6.210,208.473,0.492153
6.220,208.886,0.447421
6.230,209.125,0.205513
6.240,208.046,0.238342
6.250,207.096,0.169531
6.260,206.742,0.156427
6.270,207.994,0.314583
6.280,207.686,0.479248
6.290,208.029,0.484641
6.300,208.262,0.185556
6.310,222.982,0.259247
6.320,248.633,0.304649
6.330,276.894,0.345459
6.340,305.485,0.302984
6.350,326.380,0.600345
6.360,358.668,0.110115
6.370,394.749,0.196850
6.380,418.431,0.619519
6.390,420.869,0.827085
6.400,420.809,0.905240
6.410,420.318,0.924732
6.420,418.027,0.926097
6.430,416.034,0.913307
6.440,415.300,0.932082
6.450,415.079,0.947641
6.460,414.503,0.934066
6.470,413.944,0.933416
6.480,413.561,0.942532
6.490,414.232,0.930850
6.500,414.562,0.934247
6.510,414.783,0.933651
6.520,415.365,0.936523
6.530,415.166,0.936990
6.540,415.132,0.949449
6.550,414.609,0.936928
6.560,414.491,0.936011
6.570,414.033,0.947847
6.580,414.335,0.936715
6.590,414.303,0.933269
6.600,414.455,0.933260
6.610,414.769,0.948333
6.620,414.990,0.953642
6.630,415.351,0.957029
6.640,414.915,0.949187
6.650,414.864,0.947821
6.660,414.536,0.939389
6.670,414.625,0.944569
6.680,414.597,0.945521
6.690,414.545,0.939866
6.700,414.262,0.939766
6.710,414.637,0.941203
6.720,414.907,0.950115
6.730,415.025,0.947219
6.740,415.338,0.948522
6.750,415.562,0.941237
6.760,415.414,0.942879
6.770,415.359,0.945397
6.780,415.210,0.950375
6.790,414.820,0.943228
6.800,414.456,0.934484
6.810,414.605,0.937318
6.820,415.026,0.942422
6.830,415.418,0.940597
6.840,415.721,0.942998
6.850,416.559,0.932980
6.860,417.480,0.920185
6.870,417.540,0.922703
6.880,417.031,0.924300
6.890,416.183,0.922604
6.900,415.089,0.916965
6.910,414.128,0.924630
6.920,413.864,0.940721
6.930,413.965,0.942776
6.940,414.464,0.931939
6.950,414.509,0.934152
6.960,414.793,0.938541
6.970,415.277,0.947557
6.980,415.228,0.941470
6.990,415.431,0.945479
7.000,415.064,0.941502
7.010,415.380,0.948672
7.020,415.525,0.946525
7.030,415.575,0.942043
7.040,415.742,0.935973
7.050,415.764,0.937009
7.060,415.998,0.940153
7.070,416.333,0.939179
7.080,416.602,0.923854
7.090,416.446,0.923990
7.100,417.006,0.926161
7.110,416.853,0.901052
7.120,416.385,0.916782
7.130,416.016,0.897644
7.140,416.064,0.889892
7.150,415.199,0.886886
7.160,414.957,0.830584
7.170,414.629,0.848284
7.180,415.103,0.915185
7.190,414.434,0.912926
7.200,414.569,0.916147
7.210,414.718,0.913986
7.220,414.355,0.925024
7.230,414.627,0.926792
7.240,414.550,0.928054
7.250,414.876,0.932950
7.260,414.637,0.932007
7.270,414.981,0.937229
7.280,415.167,0.940537
7.290,415.101,0.943001
